"d_pres_fav","r_pres_fav","vt_pres_2","vt_pres_4","vt_sen","vt_gov","likely","scale","partyid","sample","phoneuse","gender","educ","hisp","cuban","race","age","racer","turnout_score","turnout_class","region","rvweight","likelyyn","lvweight","file_race","file_party","file_county","file_age","state","poll","poll_id","file_vt16","file_vt14","file_vt12"
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Male","Bachelors' degree","No",NA,"Caucasian/White",53,"Caucasian/White",0.993436274,"High","Southwest",1.31130743026733,1,1.30700389893031,"White","Republican","Cabarrus",52,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Deborah Ross, the Democrat","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Female","High school","No",NA,"Caucasian/White",63,"Caucasian/White",0.992694999,"High","Piedmont-Triad",1.15508627891541,1,1.15086732570412,"White","Republican","Surry",63,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Independent (No party)","Cell","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"Caucasian/White",31,"Caucasian/White",0.511306979,"Middle","East/ South Central",1.06324756145477,1,0.803446730015665,"White","Other","Onslow",31,"North Carolina","September","North Carolina September",1,0,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Very likely","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","High school","No",NA,"Caucasian/White",59,"Caucasian/White",0.991830928,"High","Western",0.850722789764404,1,0.847247981903591,"White","Republican","Watauga",58,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Unfavorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"Caucasian/White",29,"Caucasian/White",0.288960108,"Low","Piedmont-Triad",0.896551728248596,1,0.577809706235449,"White","Other","Guilford",28,"North Carolina","September","North Carolina September",0,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Very likely","Ten (definitely will vote)","Democrat","Landline","Landline only","Female","Graduate or Professional degree","No",NA,"African American/Black",55,"African American/Black",0.9607945,"High","East/ South Central",0.997604250907898,1,0.978048464178413,"Black","Democratic","Scotland",55,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Male","Some college or trade school","No",NA,"Caucasian/White",23,"Caucasian/White",0.465280064,"Low","North Central",0.943088233470917,1,0.690944193548956,"White","Other","Nash",23,"North Carolina","September","North Carolina September",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Male","Graduate or Professional degree","No",NA,"Caucasian/White",71,"Caucasian/White",0.971141336,"High","Western",0.468477755784988,1,0.461717934712152,"White","Democratic","Transylvania",71,"North Carolina","September","North Carolina September",1,1,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Male","High school","No",NA,"Caucasian/White",64,"Caucasian/White",0.993293485,"High","Western",0.529883682727814,1,0.528106846294579,"White","Other","Watauga",64,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Male","High school","No",NA,"African American/Black",29,"African American/Black",0.620036535,"Middle","East/ South Central",1.16301810741425,1,0.942065912438816,"Black","Democratic","Halifax",29,"North Carolina","September","North Carolina September",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",64,"Caucasian/White",0.993704842,"High","North Central",1.47881698608398,1,1.47416229279374,"White","Democratic","Chatham",64,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline only","Female","Some college or trade school","No",NA,"African American/Black",80,"African American/Black",0.993715916,"High","East/ South Central",0.786167085170746,1,0.783696915170122,"Black","Democratic","Cumberland",80,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Male","High school","No",NA,"Caucasian/White",63,"Caucasian/White",0.964451873,"High","Western",0.64461225271225,1,0.633154873599664,"White","Republican","Catawba",63,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Male","Bachelors' degree","No",NA,"Caucasian/White",70,"Caucasian/White",0.992502964,"High","Piedmont-Triad",0.689737677574158,1,0.687152183474493,"White","Republican","Davidson",70,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline only","Male","Bachelors' degree","No",NA,"Caucasian/White",66,"Caucasian/White",0.993961586,"High","North Central",0.957523047924042,1,0.954632087635088,"White","Republican","Granville",66,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Male","Bachelors' degree","No",NA,"Caucasian/White",80,"Caucasian/White",0.986488684,"High","East/ South Central",0.516918420791626,1,0.513426296726858,"White","Democratic","Lenoir",79,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Deborah Ross, the Democrat","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",21,"Caucasian/White",0.23304575,"Low","East/ South Central",1.011225938797,1,0.623443923061699,"Other","Democratic","Robeson",20,"North Carolina","September","North Carolina September",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Female","Bachelors' degree","No",NA,"African American/Black",28,"African American/Black",0.983721912,"High","East/ South Central",1.23544001579285,1,1.22538471514495,"Black","Other","Onslow",27,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","[DO NOT READ] Don't know/No opinion","Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",39,"Caucasian/White",0.783870314,"Middle","Southwest",2.38463830947876,1,2.12694274495315,"White","Republican","Union",39,"North Carolina","September","North Carolina September",0,0,1
"Favorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Not at all likely","Five","Independent (No party)","Landline","Landline and Cell Phone","Female","High school","No",NA,"Caucasian/White",92,"Caucasian/White",0.204876943,"Low","Southwest",0.761893033981323,0,0.0780471578475443,"White","Other","Rowan",92,"North Carolina","September","North Carolina September",0,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Cell","Landline and Cell Phone","Female","Grade school","No",NA,"Caucasian/White",19,"Caucasian/White",0.869112062,"High","Western",0.971594214439392,1,0.908009232789041,"White","Other","Watauga",19,"North Carolina","September","North Carolina September",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","[DO NOT READ] Don't know/No opinion","Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Landline and Cell Phone","Female","High school","No",NA,"Caucasian/White",40,"Caucasian/White",0.204291073,"Low","East/ South Central",0.652522623538971,1,0.392913585229261,"White","Other","Brunswick",40,"North Carolina","September","North Carolina September",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Very likely","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Male","Graduate or Professional degree","No",NA,"Caucasian/White",81,"Caucasian/White",0.98839161,"High","Western",0.507989227771759,1,0.505040759235872,"White","Republican","McDowell",81,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Male","Bachelors' degree","No",NA,"Caucasian/White",37,"Caucasian/White",0.366860722,"Low","Piedmont-Triad",0.740140020847321,1,0.505834161638232,"White","Republican","Randolph",37,"North Carolina","September","North Carolina September",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Cell","Landline and Cell Phone","Male","Some college or trade school","No",NA,"Caucasian/White",64,"Caucasian/White",0.994930725,"High","East/ South Central",0.71126389503479,1,0.709461098894039,"White","Republican","Brunswick",64,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Male","Some college or trade school","No",NA,"Caucasian/White",21,"Caucasian/White",0.322681292,"Low","North Central",0.943088233470917,1,0.623702581558655,"White","Other","Wake",21,"North Carolina","September","North Carolina September",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Male","Some college or trade school","No",NA,"Caucasian/White",67,"Caucasian/White",0.919176652,"High","Southwest",0.953002095222473,1,0.914489685229026,"White","Democratic","Cabarrus",67,"North Carolina","September","North Carolina September",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",64,"Caucasian/White",0.992052227,"High","Southwest",1.42257392406464,1,1.41692077675254,"White","Other","Union",64,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion","Pat McCrory, the Republican","Very likely","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Female","Bachelors' degree","No",NA,"Caucasian/White",52,"Caucasian/White",0.940107912,"High","Southwest",1.7305850982666,1,1.67876092076817,"White","Republican","Gaston",52,"North Carolina","September","North Carolina September",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"Caucasian/White",40,"Caucasian/White",0.983323107,"High","North Central",1.84010875225067,1,1.82476510386585,"White","Democratic","Wake",40,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",60,"Caucasian/White",0.993870664,"High","Western",0.850722789764404,1,0.848115606853743,"White","Republican","Caldwell",60,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"African American/Black",42,"African American/Black",0.9753907,"High","Southwest",2.28853058815002,1,2.26037102024854,"Black","Democratic","Mecklenburg",42,"North Carolina","September","North Carolina September",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"Caucasian/White",37,"Caucasian/White",0.946795093,"High","Western",0.870155870914459,1,0.847007589820705,"White","Other","Henderson",37,"North Carolina","September","North Carolina September",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","Graduate or Professional degree","No",NA,"Caucasian/White",82,"Caucasian/White",0.988525801,"High","Piedmont-Triad",0.748262405395508,1,0.743969549523644,"White","Other","Alamance",81,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Very likely","Two","Democrat","Landline","Landline and Cell Phone","Female","High school","No",NA,"Caucasian/White",93,"Caucasian/White",0.860215425,"High","North Central",1.16539657115936,0,0.501246053376697,"White","Democratic","Durham",93,"North Carolina","September","North Carolina September",0,1,1
"[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Very likely","Five","Independent (No party)","Landline","Landline and Cell Phone","Male","Some college or trade school","No",NA,"Caucasian/White",40,"Caucasian/White",0.696619476,"Middle","Southwest",1.48530292510986,0,0.51734547269565,"White","Other","Mecklenburg",40,"North Carolina","September","North Carolina September",1,0,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"Caucasian/White",64,"Caucasian/White",0.995802504,"High","East/ South Central",0.938686788082123,1,0.936716721063009,"White","Republican","New Hanover",64,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","Graduate or Professional degree","No",NA,"[DO NOT READ] Other/Something else (specify)",74,"[DO NOT READ] Other/Something else (specify)",0.98944236,"High","Western",0.551096618175507,1,0.548187478325549,"White","Other","Haywood",74,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Very likely","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"Caucasian/White",54,"Caucasian/White",0.791456369,"Middle","East/ South Central",0.854491591453552,1,0.765392201883206,"White","Other","Cumberland",54,"North Carolina","September","North Carolina September",1,0,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Landline and Cell Phone","Female","Some college or trade school","Yes",NA,"[DO NOT READ] Other/Something else (specify)",23,"Hispanic/Latino",0.664856801,"Middle","North Central",2.02806925773621,1,1.68822244832057,"White","Other","Nash",22,"North Carolina","September","North Carolina September",0,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Female","Bachelors' degree","No",NA,"Caucasian/White",44,"Caucasian/White",0.952732484,"High","Western",0.976222276687622,1,0.953150475646178,"White","Democratic","Burke",44,"North Carolina","September","North Carolina September",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline only","Female","Some college or trade school","No",NA,"African American/Black",58,"African American/Black",0.996031002,"High","Southwest",1.83919847011566,1,1.83554858259092,"Black","Democratic","Mecklenburg",58,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"Caucasian/White",22,"Caucasian/White",0.890629087,"High","Western",1.3485027551651,1,1.27475926640739,"Other","Democratic","Buncombe",21,"North Carolina","September","North Carolina September",1,0,1
"Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Deborah Ross, the Democrat","[DO NOT READ] Don't know/No opinion","Not very likely","Six","Independent (No party)","Cell","Cell Phone only","Female","Bachelors' degree","Yes",NA,"African American/Black",24,"Hispanic/Latino",0.847717826,"Middle","East/ South Central",0.970705449581146,0,0.411442156702641,"Hispanic","Democratic","Cumberland",24,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Female","Graduate or Professional degree","No",NA,"Caucasian/White",70,"Caucasian/White",0.993974737,"High","Southwest",1.25772070884705,1,1.25393165982137,"White","Democratic","Cleveland",70,"North Carolina","September","North Carolina September",1,1,1
