state,sex,age,race
Massachusetts,Female,19,White
California,Female,34,White
Wisconsin,Female,40,White
Oregon,Male,64,White
Texas,Male,3,Two major races
Texas,Female,25,White
Georgia,Female,31,Black/Negro
Georgia,Male,27,White
Ohio,Female,71,White
Arkansas,Female,76,White
New Jersey,Male,24,White
Maryland,Male,88,White
Iowa,Female,1,Black/Negro
Florida,Female,66,White
Kentucky,Female,54,White
Illinois,Female,28,White
Kentucky,Male,29,White
New York,Female,52,Chinese
New York,Female,22,Black/Negro
Texas,Female,36,White
Texas,Male,6,Black/Negro
Virginia,Male,21,Black/Negro
Arizona,Male,59,White
South Carolina,Male,27,Black/Negro
Washington,Female,14,White
New York,Female,62,White
Kentucky,Male,48,White
Kansas,Male,48,Black/Negro
Florida,Male,44,White
Louisiana,Female,8,White
New Jersey,Female,10,White
Michigan,Female,61,White
Michigan,Male,29,White
Nevada,Male,59,White
Illinois,Male,13,White
Tennessee,Female,45,Black/Negro
California,Male,17,"Other race, nec"
Louisiana,Female,1,White
Alabama,Female,50,Black/Negro
Tennessee,Male,54,White
Oklahoma,Female,83,White
Maine,Male,13,White
West Virginia,Male,66,White
California,Female,63,White
Minnesota,Female,46,White
Texas,Male,5,White
Tennessee,Female,82,White
District of Columbia,Female,19,White
Missouri,Female,34,White
Mississippi,Female,34,Black/Negro
Pennsylvania,Male,35,White
Kansas,Female,70,White
Florida,Female,17,White
Wisconsin,Female,66,White
Maryland,Male,77,White
South Carolina,Male,79,White
California,Female,0,Two major races
West Virginia,Male,69,White
Wisconsin,Female,22,White
New York,Male,25,Black/Negro
Texas,Female,31,Other Asian or Pacific Islander
Florida,Male,18,White
California,Male,29,Other Asian or Pacific Islander
Texas,Male,5,"Other race, nec"
California,Female,18,White
Florida,Female,6,White
Nevada,Female,19,"Other race, nec"
Nevada,Female,35,White
Illinois,Female,25,American Indian or Alaska Native
California,Female,29,Black/Negro
Pennsylvania,Male,54,White
Michigan,Male,37,White
Texas,Female,21,White
California,Male,68,White
Oregon,Female,18,White
Michigan,Male,73,Black/Negro
Pennsylvania,Female,4,Two major races
Ohio,Female,37,White
California,Female,75,Other Asian or Pacific Islander
California,Female,3,"Other race, nec"
California,Male,60,White
Utah,Male,44,White
Mississippi,Male,12,White
Ohio,Male,55,White
Iowa,Male,24,White
Massachusetts,Male,24,White
North Carolina,Female,57,White
Pennsylvania,Male,19,White
Pennsylvania,Male,41,White
Texas,Female,37,White
Wisconsin,Female,32,White
Illinois,Female,10,White
New York,Female,28,White
Missouri,Female,66,White
Ohio,Male,51,White
California,Female,3,White
Ohio,Male,26,White
Massachusetts,Female,67,White
California,Female,5,White
Kentucky,Female,20,White
South Carolina,Male,53,Black/Negro
Georgia,Female,46,White
Arizona,Female,16,White
Mississippi,Male,69,White
Ohio,Male,47,White
Utah,Male,54,White
California,Female,47,Other Asian or Pacific Islander
North Carolina,Male,25,White
Florida,Male,12,White
Texas,Female,54,White
Colorado,Female,59,White
California,Male,72,White
Montana,Male,44,American Indian or Alaska Native
Ohio,Male,59,White
Florida,Female,88,White
Maryland,Male,24,Other Asian or Pacific Islander
Texas,Female,12,White
Washington,Male,37,White
Delaware,Male,11,White
New York,Female,2,Black/Negro
Tennessee,Male,29,White
Texas,Female,52,"Other race, nec"
Louisiana,Female,41,White
Connecticut,Female,63,White
Pennsylvania,Male,48,White
New York,Male,25,White
Georgia,Male,6,Two major races
Michigan,Male,18,Black/Negro
Arkansas,Female,69,White
Illinois,Female,66,White
Kentucky,Female,52,White
Montana,Female,60,White
Arkansas,Male,37,Black/Negro
Missouri,Female,61,Black/Negro
Minnesota,Female,10,White
New Hampshire,Male,28,White
Texas,Male,28,White
Georgia,Female,38,White
Ohio,Female,12,White
Indiana,Female,53,White
Florida,Male,58,White
New Jersey,Female,0,White
Michigan,Male,85,White
Michigan,Male,69,White
Tennessee,Female,48,Black/Negro
California,Female,41,White
Massachusetts,Female,29,Two major races
Illinois,Male,85,White
Pennsylvania,Male,64,White
Oklahoma,Male,22,White
Colorado,Female,7,White
Minnesota,Female,4,Two major races
Ohio,Female,67,White
Kentucky,Female,45,White
Texas,Female,46,White
Texas,Male,57,White
Texas,Male,15,White
Indiana,Male,4,White
Georgia,Female,19,"Other race, nec"
Pennsylvania,Male,22,Black/Negro
Alabama,Female,38,Black/Negro
Louisiana,Male,60,Black/Negro
Illinois,Female,23,White
Utah,Female,48,White
Florida,Female,34,White
Missouri,Male,12,White
Texas,Male,28,White
Illinois,Female,24,Black/Negro
Colorado,Female,38,White
Texas,Female,72,White
Utah,Male,8,White
Tennessee,Female,34,Other Asian or Pacific Islander
Utah,Female,8,White
Texas,Male,34,White
Texas,Male,16,White
Missouri,Male,5,White
California,Female,8,"Other race, nec"
Massachusetts,Male,49,White
Virginia,Female,67,White
South Carolina,Male,31,Black/Negro
Texas,Female,25,White
Colorado,Male,9,Other Asian or Pacific Islander
South Carolina,Male,19,Black/Negro
Texas,Female,55,White
Missouri,Male,29,White
Wisconsin,Male,56,Black/Negro
Kansas,Female,52,White
Arizona,Female,51,White
Delaware,Female,77,White
Ohio,Female,28,White
Louisiana,Female,15,Black/Negro
Georgia,Male,44,White
Arizona,Male,2,Black/Negro
Texas,Female,27,White
New York,Male,45,"Other race, nec"
Nebraska,Female,46,Black/Negro
New Hampshire,Female,67,White
Colorado,Female,15,White
Maine,Male,10,White
Washington,Female,42,White
Indiana,Female,2,White
New York,Female,55,White
California,Female,10,"Other race, nec"
Alaska,Male,65,White
Louisiana,Female,12,White
Missouri,Female,36,White
California,Female,24,Other Asian or Pacific Islander
Nevada,Female,0,Two major races
Georgia,Female,5,Black/Negro
Louisiana,Female,27,Black/Negro
New Jersey,Male,22,White
Florida,Male,49,Black/Negro
Minnesota,Female,48,White
Nebraska,Male,61,White
Ohio,Male,51,White
Texas,Female,67,White
Arizona,Female,41,White
Texas,Male,45,White
North Carolina,Female,16,White
Ohio,Male,45,White
Oregon,Female,11,White
Michigan,Male,66,White
California,Female,39,"Other race, nec"
Missouri,Male,19,White
Oklahoma,Female,50,White
Illinois,Female,40,White
Colorado,Female,10,Two major races
Oregon,Male,2,White
Ohio,Female,22,White
Pennsylvania,Male,17,White
Illinois,Female,47,White
Illinois,Female,36,White
Arkansas,Male,19,Black/Negro
Delaware,Female,88,White
North Carolina,Male,11,White
Nebraska,Male,58,White
New York,Male,29,White
Georgia,Female,29,White
New Jersey,Male,48,White
North Carolina,Male,52,White
Maryland,Female,13,White
New Jersey,Male,41,White
California,Female,37,White
New Jersey,Male,15,White
Texas,Male,29,White
Ohio,Female,26,White
New Jersey,Female,38,White
New Jersey,Female,31,White
Florida,Male,20,Black/Negro
Ohio,Female,68,White
North Carolina,Male,24,Black/Negro
Nebraska,Male,43,"Other race, nec"
California,Male,51,White
Arizona,Male,31,Two major races
Minnesota,Female,16,White
California,Female,45,White
Ohio,Female,27,White
California,Female,52,White
New York,Male,23,"Other race, nec"
Pennsylvania,Male,11,White
Ohio,Male,32,White
Missouri,Female,78,Black/Negro
Washington,Male,59,White
Washington,Male,42,White
Minnesota,Male,43,White
Florida,Male,28,White
New Mexico,Female,58,Two major races
North Carolina,Male,60,White
South Carolina,Male,76,White
Oregon,Female,5,White
Nebraska,Female,53,White
Maryland,Male,37,White
Ohio,Female,43,White
Indiana,Female,20,White
New York,Male,48,"Other race, nec"
Idaho,Male,2,White
South Dakota,Female,86,White
Pennsylvania,Female,15,White
Texas,Male,63,White
Mississippi,Male,14,White
Illinois,Male,63,White
Pennsylvania,Male,30,White
Pennsylvania,Male,22,White
New York,Female,11,Black/Negro
Georgia,Female,0,Black/Negro
Maryland,Male,38,White
South Dakota,Male,82,White
California,Male,2,Three or more major races
New Jersey,Male,39,Black/Negro
California,Female,51,"Other race, nec"
New York,Female,63,White
Maryland,Female,22,White
California,Male,7,"Other race, nec"
Oklahoma,Male,24,"Other race, nec"
Oregon,Female,30,Two major races
Texas,Female,49,"Other race, nec"
Pennsylvania,Male,6,White
Texas,Male,26,White
California,Male,44,White
New York,Male,43,Black/Negro
Pennsylvania,Male,21,White
Connecticut,Male,54,White
Alabama,Female,18,White
West Virginia,Female,27,White
Florida,Male,58,White
Washington,Female,9,White
Washington,Female,43,White
New Hampshire,Male,58,White
Ohio,Male,10,White
South Carolina,Male,40,Three or more major races
Colorado,Female,27,White
California,Male,28,White
Massachusetts,Male,32,White
Pennsylvania,Male,7,White
Connecticut,Male,47,White
Missouri,Female,58,White
Texas,Female,15,White
New York,Female,11,"Other race, nec"
Missouri,Male,4,Black/Negro
Louisiana,Male,40,Black/Negro
Washington,Male,28,White
Ohio,Male,50,Black/Negro
Alabama,Male,7,Black/Negro
Tennessee,Female,22,White
Pennsylvania,Female,9,White
Texas,Female,30,"Other race, nec"
Montana,Male,52,White
Alabama,Female,9,White
Illinois,Female,62,White
California,Male,48,White
North Carolina,Male,53,White
Tennessee,Male,36,White
California,Female,26,White
Arizona,Female,16,"Other race, nec"
Texas,Female,24,White
Tennessee,Male,18,White
Texas,Female,17,White
Florida,Female,32,White
Wisconsin,Male,25,White
Virginia,Female,4,White
Michigan,Male,63,White
California,Male,43,White
Mississippi,Male,17,Black/Negro
Iowa,Female,46,White
Tennessee,Male,55,White
California,Male,36,White
California,Male,77,White
Michigan,Female,8,White
Georgia,Female,2,White
California,Male,72,White
West Virginia,Male,63,White
Pennsylvania,Female,78,White
Texas,Female,59,Two major races
Minnesota,Female,44,White
West Virginia,Male,13,White
Florida,Male,8,White
Tennessee,Female,1,White
Louisiana,Female,38,White
California,Male,33,White
Georgia,Female,12,Black/Negro
Washington,Male,52,White
Colorado,Male,17,Black/Negro
New York,Male,59,White
Ohio,Female,5,White
California,Female,47,White
Connecticut,Female,18,White
South Carolina,Male,12,White
Missouri,Female,44,White
California,Male,71,White
New York,Female,59,White
New Jersey,Male,46,White
New Jersey,Female,45,Other Asian or Pacific Islander
Virginia,Male,19,White
Louisiana,Male,35,White
Virginia,Female,9,White
California,Male,37,"Other race, nec"
Pennsylvania,Female,36,White
West Virginia,Male,23,White
Georgia,Female,25,Other Asian or Pacific Islander
West Virginia,Male,42,White
Illinois,Female,23,White
Tennessee,Female,71,White
Michigan,Female,62,White
Nevada,Male,6,"Other race, nec"
Missouri,Female,19,White
Florida,Female,51,White
Georgia,Male,53,White
Nebraska,Male,0,White
Florida,Male,32,White
Georgia,Male,19,Black/Negro
Mississippi,Male,82,Black/Negro
Iowa,Female,25,White
Tennessee,Female,33,Black/Negro
Alabama,Female,40,Black/Negro
California,Female,38,"Other race, nec"
California,Male,12,White
Florida,Female,73,White
Massachusetts,Female,36,White
New York,Male,1,White
Ohio,Male,31,Two major races
California,Male,23,White
Mississippi,Female,25,White
Illinois,Female,23,White
Wisconsin,Female,35,"Other race, nec"
California,Male,19,White
New York,Male,60,"Other race, nec"
Washington,Male,78,White
Connecticut,Female,30,White
Indiana,Female,17,White
Colorado,Male,49,White
California,Female,68,White
Ohio,Male,79,White
Oregon,Female,64,White
Georgia,Male,53,White
Iowa,Male,30,White
Florida,Female,38,White
Nevada,Female,15,White
California,Female,4,White
Hawaii,Female,66,Japanese
Mississippi,Male,4,White
California,Female,60,White
Maryland,Male,0,Black/Negro
Arizona,Male,29,Two major races
Illinois,Male,38,White
California,Female,23,"Other race, nec"
California,Male,18,"Other race, nec"
Louisiana,Female,9,White
California,Male,11,"Other race, nec"
Arkansas,Female,49,White
New York,Male,51,White
Tennessee,Male,49,White
New York,Male,13,White
California,Male,21,White
Tennessee,Female,55,Black/Negro
New Mexico,Male,52,White
Kansas,Male,43,White
Pennsylvania,Male,55,Chinese
Texas,Male,13,Other Asian or Pacific Islander
California,Female,12,White
Texas,Male,6,White
California,Male,50,Other Asian or Pacific Islander
Iowa,Male,46,White
California,Female,12,White
Mississippi,Male,45,White
Illinois,Male,30,White
Arizona,Female,19,White
Ohio,Male,55,White
Florida,Female,66,Black/Negro
Virginia,Female,30,White
Illinois,Male,11,White
California,Female,24,White
Massachusetts,Male,18,White
Pennsylvania,Female,9,Chinese
California,Male,74,White
New York,Female,19,"Other race, nec"
Florida,Male,23,White
Michigan,Male,9,White
Kentucky,Male,17,White
Hawaii,Female,13,Two major races
Pennsylvania,Female,75,White
Maryland,Male,16,Other Asian or Pacific Islander
Illinois,Female,22,Two major races
Oklahoma,Male,33,Two major races
Oklahoma,Female,15,American Indian or Alaska Native
Georgia,Male,52,Black/Negro
California,Female,41,"Other race, nec"
Texas,Male,7,White
Florida,Male,28,"Other race, nec"
North Carolina,Female,35,Black/Negro
Illinois,Female,42,Black/Negro
Minnesota,Female,64,White
Pennsylvania,Female,69,White
Pennsylvania,Female,4,White
Montana,Female,54,White
New Jersey,Male,40,White
Wisconsin,Male,30,White
Iowa,Female,15,White
Virginia,Male,31,White
South Carolina,Male,82,White
Connecticut,Male,24,White
New York,Female,24,Black/Negro
Pennsylvania,Male,49,White
Texas,Female,9,"Other race, nec"
Florida,Female,12,White
New York,Male,33,White
Kansas,Male,41,White
Colorado,Female,15,Chinese
Massachusetts,Female,39,White
California,Female,25,White
California,Male,48,White
Illinois,Female,50,White
Texas,Male,64,White
California,Male,41,"Other race, nec"
Georgia,Female,41,White
Arizona,Female,22,White
Ohio,Male,46,White
Connecticut,Female,94,White
New York,Female,38,White
New York,Male,24,White
Minnesota,Male,12,Black/Negro
Illinois,Female,36,White
Florida,Male,66,White
Texas,Male,46,"Other race, nec"
Colorado,Male,0,White
California,Female,7,"Other race, nec"
Florida,Male,37,"Other race, nec"
Florida,Female,34,Black/Negro
Georgia,Male,53,White
Illinois,Male,55,White
Kentucky,Male,17,White
California,Male,23,"Other race, nec"
Colorado,Male,48,Black/Negro
Texas,Male,41,White
Texas,Male,67,White
Georgia,Male,19,White
North Carolina,Male,34,"Other race, nec"
Washington,Female,41,White
California,Male,33,White
Alabama,Female,30,Black/Negro
Illinois,Male,44,White
Pennsylvania,Male,55,White
Vermont,Male,24,White
Louisiana,Male,39,Black/Negro
Arizona,Male,37,White
Massachusetts,Male,54,Black/Negro
Rhode Island,Female,16,White
North Carolina,Female,34,White
Texas,Male,2,White
New York,Male,21,White
New Jersey,Male,59,White
North Carolina,Female,56,Black/Negro
Virginia,Female,19,Black/Negro
California,Male,68,"Other race, nec"
Arizona,Male,26,White
South Carolina,Male,9,White
Texas,Male,18,White
Florida,Female,66,White
Florida,Male,44,Black/Negro
Hawaii,Male,67,Japanese
Missouri,Female,12,White
North Carolina,Male,75,White
Texas,Male,61,White
Ohio,Female,75,White
Ohio,Male,63,White
Arkansas,Female,26,White
Texas,Female,48,White
Utah,Male,3,White
Alabama,Female,47,White
Nebraska,Male,48,White
Virginia,Male,53,"Other race, nec"
New York,Female,70,Two major races
Florida,Male,63,White
Wisconsin,Male,89,White
California,Female,87,White
California,Male,9,White
Tennessee,Male,33,"Other race, nec"
Texas,Female,36,White
Texas,Female,13,Black/Negro
Indiana,Male,27,White
Utah,Male,23,White
Washington,Female,57,White
New Jersey,Female,24,White
Illinois,Female,59,Japanese
California,Male,30,"Other race, nec"
Maryland,Female,0,White
Florida,Male,18,White
Nebraska,Female,23,White
Florida,Male,32,Black/Negro
Washington,Male,65,White
Massachusetts,Female,26,Black/Negro
Nebraska,Female,68,White
Michigan,Female,33,White
New York,Female,4,White
California,Female,46,White
West Virginia,Female,31,White
Alabama,Female,47,Black/Negro
New Jersey,Male,54,White
Pennsylvania,Male,74,White
Georgia,Male,35,White
Kentucky,Female,26,Black/Negro
Minnesota,Male,27,Other Asian or Pacific Islander
Missouri,Male,64,White
Oregon,Female,42,White
Vermont,Female,16,White
Virginia,Male,26,White
Georgia,Female,46,Two major races
Indiana,Female,56,White
California,Male,31,Other Asian or Pacific Islander
Illinois,Male,20,White
Utah,Female,30,White
Wisconsin,Male,74,White
Maryland,Male,1,White
Arizona,Female,1,White
Florida,Male,52,White
Pennsylvania,Male,53,White
New York,Female,54,White
South Carolina,Female,31,White
Texas,Male,40,White
Wisconsin,Male,40,White
California,Male,77,White
Kentucky,Female,56,White
California,Female,25,White
Tennessee,Female,54,White
Pennsylvania,Female,48,White
California,Female,86,Black/Negro
California,Female,47,White
Iowa,Male,23,White
Missouri,Male,2,White
Texas,Female,34,Chinese
Maryland,Male,73,White
Florida,Female,45,White
Texas,Male,54,White
Oklahoma,Male,7,"Other race, nec"
Georgia,Female,43,Black/Negro
North Carolina,Male,71,White
California,Male,15,Black/Negro
Indiana,Female,67,White
Georgia,Male,57,White
Florida,Male,45,White
Texas,Female,67,Chinese
Illinois,Male,0,Two major races
New Jersey,Female,25,Black/Negro
Kansas,Male,83,White
Tennessee,Male,68,White
Minnesota,Female,6,White
Michigan,Female,57,White
New Jersey,Male,17,White
Arizona,Male,22,White
New York,Female,51,White
North Carolina,Female,93,White
Massachusetts,Male,52,White
Michigan,Female,19,Other Asian or Pacific Islander
Nebraska,Male,62,White
Arkansas,Male,9,White
New York,Female,2,Two major races
Texas,Male,41,White
Virginia,Female,46,Two major races
Ohio,Female,83,White
New York,Female,20,White
Nebraska,Male,13,White
Washington,Male,6,"Other race, nec"
Kansas,Female,34,White
South Carolina,Male,50,White
Florida,Female,39,"Other race, nec"
Ohio,Female,30,Two major races
California,Female,23,"Other race, nec"
Oklahoma,Female,49,White
California,Male,9,American Indian or Alaska Native
Florida,Female,66,White
Massachusetts,Female,58,American Indian or Alaska Native
West Virginia,Female,60,White
New York,Male,25,Black/Negro
Michigan,Male,52,White
Colorado,Male,52,Two major races
Wisconsin,Male,38,White
Georgia,Male,21,Black/Negro
Louisiana,Male,50,White
Florida,Female,28,Black/Negro
Illinois,Female,59,Other Asian or Pacific Islander
California,Male,35,"Other race, nec"
Wisconsin,Female,12,White
Maryland,Female,81,White
California,Female,42,White
Nevada,Female,42,White
Missouri,Male,24,Two major races
Oklahoma,Male,49,White
Michigan,Male,47,White
North Carolina,Female,1,Black/Negro
California,Female,62,White
Georgia,Male,32,Black/Negro
Texas,Male,45,Black/Negro
Illinois,Female,71,White
Illinois,Male,47,White
Missouri,Female,61,White
California,Female,38,White
Wisconsin,Male,35,Black/Negro
Texas,Female,4,White
Pennsylvania,Male,9,Black/Negro
Indiana,Male,45,Other Asian or Pacific Islander
New York,Male,22,White
Texas,Male,47,White
Pennsylvania,Female,28,White
California,Female,39,Other Asian or Pacific Islander
Georgia,Male,38,White
California,Female,68,White
New Jersey,Female,48,White
Alabama,Male,31,White
North Carolina,Male,54,Black/Negro
North Carolina,Female,54,White
Indiana,Female,18,Black/Negro
Texas,Female,4,White
Ohio,Female,0,Two major races
Georgia,Male,35,White
Kansas,Male,68,White
North Carolina,Male,27,White
California,Female,47,White
New Jersey,Male,49,White
California,Male,28,White
California,Female,36,White
Ohio,Male,51,White
California,Male,25,Black/Negro
Georgia,Male,11,White
Texas,Female,34,White
Georgia,Female,8,White
Oregon,Male,45,White
California,Female,21,White
Florida,Female,89,White
Maryland,Male,48,White
Michigan,Male,38,White
South Carolina,Female,29,White
Texas,Female,67,White
Idaho,Male,10,White
Virginia,Female,66,White
Virginia,Male,63,White
Texas,Male,6,White
Missouri,Female,17,Three or more major races
Pennsylvania,Female,43,Black/Negro
New Mexico,Female,78,Two major races
North Carolina,Female,0,White
Hawaii,Female,41,Other Asian or Pacific Islander
Texas,Male,28,"Other race, nec"
Georgia,Male,4,Black/Negro
Wisconsin,Female,70,White
Michigan,Female,33,White
Michigan,Female,15,Two major races
Florida,Male,21,White
Minnesota,Female,57,Other Asian or Pacific Islander
California,Female,28,White
Alabama,Female,41,White
Missouri,Female,13,White
South Dakota,Male,80,White
Oklahoma,Female,53,White
Kansas,Male,41,Black/Negro
Michigan,Female,58,White
Arkansas,Female,23,White
Massachusetts,Male,17,White
Arkansas,Male,68,White
Kentucky,Female,19,White
California,Female,27,Other Asian or Pacific Islander
Minnesota,Male,65,American Indian or Alaska Native
Nebraska,Female,24,White
Alabama,Male,1,Black/Negro
Virginia,Male,55,White
North Carolina,Male,7,White
Illinois,Female,45,White
Florida,Male,5,White
Tennessee,Female,24,Black/Negro
Washington,Male,61,White
Alabama,Female,1,Black/Negro
Washington,Male,66,White
California,Male,42,White
Florida,Female,57,White
West Virginia,Male,59,White
New York,Female,32,White
Michigan,Male,15,White
Ohio,Male,51,Black/Negro
Missouri,Female,52,White
Delaware,Female,48,White
Colorado,Female,45,White
Oklahoma,Male,59,White
New York,Female,8,Black/Negro
Oregon,Female,13,White
Louisiana,Female,61,Black/Negro
Wisconsin,Male,45,White
Maryland,Female,11,White
Illinois,Female,6,White
Alabama,Female,22,White
Idaho,Male,68,White
Texas,Female,26,White
Wisconsin,Female,36,White
Indiana,Female,35,"Other race, nec"
Texas,Male,31,White
South Carolina,Female,33,White
California,Female,1,Two major races
Arizona,Male,40,White
New Jersey,Female,24,White
Texas,Female,5,White
Texas,Male,53,"Other race, nec"
Arizona,Male,37,"Other race, nec"
Nevada,Female,51,American Indian or Alaska Native
New York,Male,7,"Other race, nec"
Texas,Male,5,White
Montana,Male,58,White
Montana,Female,5,White
California,Male,23,Two major races
New York,Male,32,"Other race, nec"
Texas,Female,57,White
Michigan,Female,2,White
Indiana,Male,37,White
California,Female,43,White
Maryland,Female,17,White
Florida,Male,65,White
North Carolina,Male,47,White
New York,Female,17,Chinese
New York,Male,17,White
Ohio,Female,57,White
New Jersey,Female,32,White
Louisiana,Male,36,White
Florida,Female,43,White
Texas,Female,64,White
Michigan,Male,81,White
California,Female,39,White
Florida,Female,27,White
Iowa,Male,41,White
Pennsylvania,Female,19,White
Kansas,Male,52,White
Kansas,Female,48,White
Colorado,Female,51,White
Texas,Male,76,White
Wisconsin,Female,48,White
Texas,Female,16,White
Pennsylvania,Female,17,White
New Jersey,Male,40,Two major races
Tennessee,Female,2,Black/Negro
Missouri,Male,12,"Other race, nec"
Texas,Male,64,Other Asian or Pacific Islander
New York,Male,31,"Other race, nec"
California,Male,44,White
California,Female,22,White
Georgia,Male,8,White
Ohio,Female,2,White
Nevada,Male,83,White
Michigan,Male,54,White
California,Female,14,"Other race, nec"
Pennsylvania,Female,55,White
New Jersey,Female,44,White
Virginia,Male,54,White
Florida,Female,10,White
Utah,Male,67,White
Michigan,Male,5,White
Texas,Female,66,White
California,Male,14,White
Oregon,Female,82,White
New York,Male,72,Black/Negro
Wisconsin,Female,25,White
Colorado,Male,12,"Other race, nec"
California,Female,5,White
California,Female,62,Chinese
Wisconsin,Male,63,White
Wyoming,Female,15,Two major races
Texas,Male,21,"Other race, nec"
Ohio,Female,52,White
Minnesota,Male,2,Other Asian or Pacific Islander
Pennsylvania,Female,83,"Other race, nec"
Illinois,Female,6,White
Utah,Female,39,White
California,Female,21,"Other race, nec"
Wisconsin,Female,33,White
Florida,Female,27,White
California,Female,49,White
New York,Male,69,White
Colorado,Female,5,White
Virginia,Female,47,Black/Negro
Mississippi,Male,28,White
New York,Male,21,"Other race, nec"
Texas,Male,12,Black/Negro
Michigan,Male,52,White
Washington,Male,44,White
California,Male,3,White
Oregon,Male,4,White
Minnesota,Female,46,White
Louisiana,Female,92,Black/Negro
Indiana,Female,44,White
Florida,Male,40,White
New Jersey,Male,44,White
New York,Female,62,White
New York,Male,5,White
California,Male,42,White
Florida,Female,81,White
Oklahoma,Male,10,White
Florida,Female,63,White
Pennsylvania,Male,65,White
Georgia,Male,26,Black/Negro
Maine,Male,35,White
Utah,Female,78,White
North Carolina,Male,62,White
Indiana,Male,10,White
Alaska,Male,9,White
New Jersey,Female,39,Chinese
New Hampshire,Female,80,White
Arizona,Female,28,"Other race, nec"
Florida,Female,23,American Indian or Alaska Native
Washington,Male,27,White
Colorado,Male,40,Black/Negro
Arizona,Female,2,White
Idaho,Male,60,White
Illinois,Female,8,White
California,Male,27,White
Alabama,Female,42,White
Missouri,Female,46,White
Tennessee,Male,2,White
California,Male,75,White
Rhode Island,Female,30,White
Connecticut,Female,55,White
Idaho,Female,20,White
Pennsylvania,Female,27,White
New York,Female,78,White
Michigan,Male,60,White
Nebraska,Male,1,White
Wisconsin,Male,19,"Other race, nec"
North Carolina,Male,37,White
New Mexico,Female,46,White
Virginia,Female,6,White
Illinois,Female,83,White
Alabama,Female,32,Black/Negro
Ohio,Female,45,White
Illinois,Male,49,White
Florida,Female,33,Black/Negro
Iowa,Male,56,White
Massachusetts,Male,49,White
Arizona,Female,40,Black/Negro
Texas,Male,29,"Other race, nec"
Tennessee,Female,13,White
Virginia,Female,0,Black/Negro
California,Female,41,Two major races
Virginia,Female,42,White
Wisconsin,Male,79,White
Florida,Female,1,White
Alabama,Female,16,White
Georgia,Male,3,Black/Negro
Florida,Female,12,Two major races
Florida,Male,28,White
Texas,Male,49,White
Missouri,Female,60,White
Wisconsin,Female,68,White
Tennessee,Male,54,White
Florida,Female,19,Black/Negro
Alabama,Male,32,White
Tennessee,Male,14,White
Indiana,Male,44,White
Kansas,Female,64,White
New Jersey,Female,57,White
Utah,Female,19,White
Maryland,Female,48,White
Missouri,Male,69,White
Louisiana,Female,49,Black/Negro
Louisiana,Female,18,Black/Negro
Texas,Male,28,White
Ohio,Male,22,White
California,Female,15,Black/Negro
California,Female,51,White
New Jersey,Male,16,Black/Negro
Texas,Male,54,White
New York,Female,51,White
South Dakota,Female,35,White
Vermont,Female,18,Two major races
New Jersey,Female,43,Other Asian or Pacific Islander
California,Male,74,White
Oklahoma,Female,54,White
Wisconsin,Female,79,White
Tennessee,Female,13,Black/Negro
California,Male,40,Black/Negro
Alabama,Female,34,White
Illinois,Female,1,White
